0.735246134625	1600
time	pressure	humidity	temperature
150.811309309	1006.8984375	35.0507278442	33.1433944702
150.81130931	1006.8984375	35.0507278442	33.1433944702
150.81130931	1006.8984375	35.0507278442	33.1433944702
150.81130931	1006.8984375	36.9284858704	33.1433944702
150.811309311	1006.8984375	36.9284858704	33.1433944702
150.811309311	1006.8984375	36.9284858704	33.1433944702
150.811309311	1006.8984375	36.9284858704	33.1433944702
150.811309311	1006.8984375	36.9284858704	33.1433944702
150.811309311	1006.8984375	36.9284858704	33.1433944702
150.811309312	1006.8984375	36.9284858704	33.1433944702
150.811309312	1006.8984375	36.9284858704	33.1433944702
150.811309312	1006.8984375	36.9284858704	33.1433944702
150.811309312	1006.8984375	36.9284858704	33.1433944702
150.811309313	1006.8984375	36.9284858704	33.1433944702
150.811309313	1006.90039062	36.9284858704	33.1433944702
150.811309313	1006.90039062	36.9284858704	33.1433944702
150.811309313	1006.90039062	36.9284858704	33.1433944702
150.811309314	1006.90039062	36.9284858704	33.1433944702
150.811309314	1006.90039062	36.9284858704	33.1433944702
150.811309314	1006.90039062	36.9284858704	33.1433944702
150.811309314	1006.90039062	36.9284858704	33.1433944702
150.811309314	1006.90039062	36.9284858704	33.1433944702
150.811309315	1006.90039062	36.9284858704	33.1433944702
150.811309315	1006.90039062	36.9284858704	33.1433944702
150.811309315	1006.90039062	36.9284858704	33.1433944702
150.811309315	1006.90039062	36.9284858704	33.1433944702
150.811309316	1006.90039062	36.9284858704	33.1433944702
150.811309316	1006.90039062	36.9284858704	33.1433944702
150.811309316	1006.90039062	36.9284858704	33.1433944702
150.811309316	1006.90039062	36.9284858704	33.1433944702
150.811309316	1006.90039062	36.9284858704	33.1433944702
150.811309317	1006.90380859	36.9284858704	33.1433944702
150.811309317	1006.90380859	36.9284858704	33.1433944702
150.811309317	1006.90380859	36.9284858704	33.1433944702
150.811309318	1006.90380859	36.9284858704	33.1433944702
150.811309318	1006.90380859	36.9284858704	33.1433944702
150.811309318	1006.90380859	36.9284858704	33.1433944702
150.811309318	1006.90380859	33.9179649353	33.1433944702
150.811309319	1006.90380859	33.9179649353	33.1433944702
150.811309319	1006.90380859	33.9179649353	33.1433944702
150.811309319	1006.90380859	33.9179649353	33.1433944702
150.811309319	1006.90380859	33.9179649353	33.1433944702
150.811309319	1006.90380859	33.9179649353	33.1433944702
150.81130932	1006.90380859	33.9179649353	33.1433944702
150.81130932	1006.90380859	33.9179649353	33.1433944702
150.81130932	1006.90380859	33.9179649353	33.1433944702
150.81130932	1006.90380859	33.9179649353	33.1433944702
150.811309321	1006.90478516	33.9179649353	33.1433944702
150.811309321	1006.90478516	33.9179649353	33.1433944702
150.811309321	1006.90478516	33.9179649353	33.1433944702
150.811309321	1006.90478516	33.9179649353	33.1433944702
150.811309322	1006.90478516	33.9179649353	33.1433944702
150.811309322	1006.90478516	33.9179649353	33.1433944702
150.811309322	1006.90478516	33.9179649353	33.1433944702
150.811309322	1006.90478516	33.9179649353	33.1433944702
150.811309323	1006.90478516	33.9179649353	33.1433944702
150.811309323	1006.90478516	33.9179649353	33.1433944702
150.811309323	1006.90478516	33.9179649353	33.1433944702
150.811309323	1006.90478516	33.9179649353	33.1433944702
150.811309323	1006.90478516	33.9179649353	33.1433944702
150.811309324	1006.90478516	33.9179649353	33.1433944702
150.811309324	1006.90478516	33.9179649353	33.1433944702
150.811309324	1006.90478516	33.9179649353	33.1433944702
150.811309324	1006.90478516	33.9179649353	33.1433944702
150.811309325	1006.90478516	33.9179649353	33.1433944702
150.811309325	1006.90600586	33.9179649353	33.1433944702
150.811309325	1006.90600586	33.9179649353	33.1433944702
150.811309325	1006.90600586	33.9179649353	33.1433944702
150.811309326	1006.90600586	33.9179649353	33.1433944702
150.811309326	1006.90600586	33.9179649353	33.1433944702
150.811309326	1006.90600586	33.9179649353	33.1614646912
150.811309326	1006.90600586	35.0079803467	33.1614646912
150.811309327	1006.90600586	35.0079803467	33.1614646912
150.811309327	1006.90600586	35.0079803467	33.1614646912
150.811309327	1006.90600586	35.0079803467	33.1614646912
150.811309327	1006.90600586	35.0079803467	33.1614646912
150.811309328	1006.90600586	35.0079803467	33.1614646912
150.811309328	1006.90600586	35.0079803467	33.1614646912
150.811309328	1006.90600586	35.0079803467	33.1614646912
150.811309328	1006.90600586	35.0079803467	33.1614646912
150.811309328	1006.90600586	35.0079803467	33.1614646912
150.811309329	1006.90136719	35.0079803467	33.1614646912
150.811309329	1006.90136719	35.0079803467	33.1614646912
150.811309329	1006.90136719	35.0079803467	33.1614646912
150.81130933	1006.90136719	35.0079803467	33.1614646912
150.81130933	1006.90136719	35.0079803467	33.1614646912
150.81130933	1006.90136719	35.0079803467	33.1614646912
150.81130933	1006.90136719	35.0079803467	33.1614646912
150.81130933	1006.90136719	35.0079803467	33.1614646912
150.811309331	1006.90136719	35.0079803467	33.1614646912
150.811309331	1006.90136719	35.0079803467	33.1614646912
150.811309331	1006.90136719	35.0079803467	33.1614646912
150.811309331	1006.90136719	35.0079803467	33.1614646912
150.811309332	1006.90136719	35.0079803467	33.1614646912
150.811309332	1006.90136719	35.0079803467	33.1614646912
150.811309332	1006.90136719	35.0079803467	33.1614646912
150.811309332	1006.90136719	35.0079803467	33.1614646912
150.811309332	1006.90136719	35.0079803467	33.1614646912
150.811309333	1006.90209961	35.0079803467	33.1614646912
150.811309333	1006.90209961	35.0079803467	33.1614646912
150.811309333	1006.90209961	35.0079803467	33.1614646912
150.811309333	1006.90209961	35.0079803467	33.1614646912
150.811309334	1006.90209961	35.0079803467	33.1614646912
150.811309334	1006.90209961	35.0079803467	33.1614646912
150.811309334	1006.90209961	35.0079803467	33.0711212158
150.811309334	1006.90209961	35.0079803467	33.0711212158
150.811309335	1006.90209961	36.8643684387	33.0711212158
150.811309335	1006.90209961	36.8643684387	33.0711212158
150.811309335	1006.90209961	36.8643684387	33.0711212158
150.811309335	1006.90209961	36.8643684387	33.0711212158
150.811309336	1006.90209961	36.8643684387	33.0711212158
150.811309336	1006.90209961	36.8643684387	33.0711212158
150.811309336	1006.90209961	36.8643684387	33.0711212158
150.811309336	1006.90209961	36.8643684387	33.0711212158
150.811309337	1006.8984375	36.8643684387	33.0711212158
150.811309337	1006.8984375	36.8643684387	33.0711212158
150.811309337	1006.8984375	36.8643684387	33.0711212158
150.811309337	1006.8984375	36.8643684387	33.0711212158
150.811309338	1006.8984375	36.8643684387	33.0711212158
150.811309338	1006.8984375	36.8643684387	33.0711212158
150.811309338	1006.8984375	36.8643684387	33.0711212158
150.811309338	1006.8984375	36.8643684387	33.0711212158
150.811309338	1006.8984375	36.8643684387	33.0711212158
150.811309339	1006.8984375	36.8643684387	33.0711212158
150.811309339	1006.8984375	36.8643684387	33.0711212158
150.811309339	1006.8984375	36.8643684387	33.0711212158
150.811309339	1006.8984375	36.8643684387	33.0711212158
150.81130934	1006.8984375	36.8643684387	33.0711212158
150.81130934	1006.8984375	36.8643684387	33.0711212158
150.81130934	1006.8984375	36.8643684387	33.0711212158
150.81130934	1006.8984375	36.8643684387	33.0711212158
150.81130934	1006.89916992	36.8643684387	33.0711212158
150.811309341	1006.89916992	36.8643684387	33.0711212158
150.811309341	1006.89916992	36.8643684387	33.0711212158
150.811309341	1006.89916992	36.8643684387	33.0711212158
150.811309342	1006.89916992	36.8643684387	33.0711212158
150.811309342	1006.89916992	36.8643684387	33.0711212158
150.811309342	1006.89916992	36.8643684387	33.0711212158
150.811309342	1006.89916992	36.8643684387	33.0711212158
150.811309342	1006.89916992	36.8643684387	33.1795349121
150.811309343	1006.89916992	35.7529792786	33.1795349121
150.811309343	1006.89916992	35.7529792786	33.1795349121
150.811309343	1006.89916992	35.7529792786	33.1795349121
150.811309344	1006.89916992	35.7529792786	33.1795349121
150.811309344	1006.89916992	35.7529792786	33.1795349121
150.811309344	1006.89916992	35.7529792786	33.1795349121
150.811309344	1006.89916992	35.7529792786	33.1795349121
150.811309344	1006.90185547	35.7529792786	33.1795349121
