N_used_for_prediction	error	upload_time	bluetooth_time	pi_compute_time	lambda_compute_time
4000	1.97484775501	6.23799204826	0.00437498092651	2.39508700371	41.8501410484
800	6.12552086248	2.71786308289	0.0566358566284	0.426278829575	4.43208408356
800	5.42015785329	1.73010611534	0.00361704826355	0.422808885574	4.97221899033
800	5.41768566333	1.82279992104	0.0229709148407	0.330136060715	4.87628293037
1200	0.693336315277	1.53152108192	0.0215339660645	0.473616123199	54.5112550259
1200	0.67927078684	1.72397899628	0.00679302215576	0.467607975006	54.6351659298
1200	0.589896267158	1.70784807205	0.299815893173	0.799280881882	54.4193758965
1200	0.670725972701	1.71634101868	0.33065199852	0.774600982666	54.6265230179
1600	4.14729250626	2.15755701065	0.356467008591	1.032351017	9.00033307076
1600	4.07557625559	2.22712111473	0.337105989456	0.738446950912	8.95260095596
1600	4.09269139671	2.23552799225	0.0393121242523	1.04531598091	8.97160506248
1600	4.08552900656	2.13448095322	0.00361490249634	0.93158197403	8.97860002518
2000	1.8298110789	2.61878204346	0.207746982574	0.997442960739	14.0370481014
2000	1.88449515553	2.66953706741	0.00662994384766	0.805432081223	14.2191839218
2000	1.79507104291	2.56802678108	0.00680088996887	0.914131879807	14.0907399654
2000	1.93796726074	2.90111923218	0.169962882996	0.854300022125	14.1066949368
2200	0.873007723452	2.81439304352	0.231179952621	1.20993590355	18.2587430477
2200	0.988393282868	2.87959599495	0.0321528911591	1.10389780998	18.2486028671
2400	5.77663573037	3.14936709404	0.00665688514709	1.2929828167	15.185229063
2400	5.80324517732	3.16066598892	0.0379428863525	1.21704697609	15.146378994
2400	5.84077026672	3.71205115318	0.0304219722748	1.51602292061	15.1416721344
2600	3.21708761838	3.7546479702	0.00675797462463	1.16934585571	19.2421379089
2600	3.27528224872	3.41772603989	0.335541963577	1.43326187134	19.2041759491
2600	3.10073484895	4.0005300045	0.0173690319061	1.29629302025	19.2108249664
2800	2.66100943659	3.50339698792	0.0292510986328	1.40812206268	21.1978650093
2800	2.69273233038	3.48083686829	0.0454778671265	1.35745096207	21.1843261719
2800	2.64125128398	3.63633990288	0.230279922485	1.54571819305	21.1543939114
3000	0.875496871582	4.12307214737	0.310483932495	1.7500641346	26.9874651432
3000	0.878125591661	4.09418702126	0.218065023422	1.69554305077	26.9037570953
3200	0.737653423592	7.32914590836	0.0296249389648	1.58317804337	29.4063081741
3200	0.735246134625	4.16413116455	0.0386350154877	1.97107601166	29.3929080963
